Publisher,Score,Magnitude,Keywords,Trump
washingtonexaminer.com,0,0.300000012,arabia week military oil pay worlds world trump arabias subsidizing saudi united ,0
washingtonexaminer.com,-0.100000001,1,devils katz word yearbook define kavanaugh washington sexual rose wrote triangle scrambled corroboration senate needed hearing opponents ,0
washingtonexaminer.com,-0.200000003,3.099999905,preexisting rules illnesses declares care trump safe despite lawsuit obamacare conditions gop law protections officials ,0
washingtonexaminer.com,-0.200000003,2.099999905,received dianne feinstein trumps mocks letter trump didnt christine existence leak fords saying wishes twitter staff ,0
washingtonexaminer.com,0,0.800000012,support investigation speaks watch west live states supreme trump virginia wva sen rally wheeling visited ,0
washingtonexaminer.com,-0.100000001,0.800000012,investigation kavanaugh reporters republican trump leaked senate leaker reign fbi ford ,0
washingtonexaminer.com,0,0.200000003,w hes investigation flake kavanaugh brett george interview jeff weve unless reveals bush senate worked vote urged ,0
washingtonexaminer.com,-0.300000012,1.700000048,investigation kicks kavanaugh school high brett times shared judiciary senate fbi women ,0
washingtonexaminer.com,-0.200000003,1.100000024,ground military isis trump defeat iran iranian arab forces troops boots syria counter eyeing ,0
washingtonexaminer.com,-0.200000003,1.399999976,hearings surveyed poll kavanaugh senator showed shows midterm supreme face senate senators election vote trouble ,0
washingtonexaminer.com,0,0.300000012,soon president hopefully goodlatte rod early week happen private trump rosenstein gop justice looking meeting memos ,0
washingtonexaminer.com,-0.100000001,1,president rare aclu kavanaugh silent nomination brett allegations oppose supreme issues policy remain organization statement opposition ,0
washingtonexaminer.com,-0.200000003,2.200000048,investigation kavanaugh check brett allegations democrats letter wrote calls leaked intercept cassidy fbi bill ,0
washingtonexaminer.com,-0.100000001,1.299999952,entry kavanaugh calendar brett know 1982 key party allegation judge house christine garrett fords ford ,0
washingtonexaminer.com,-0.400000006,2.099999905,investigation kavanaugh delay week torturing shame democrats fbi truth vs wanted vote fords ford ,0
washingtonexaminer.com,-0.100000001,1.5,support crimes accusers kavanaugh shows metoo men accusations rape claims unfair debacle culture women evidence ,0
washingtonexaminer.com,0.200000003,1.399999976,heres maryland residents district political congressional county virginia retrocession gain organization douglass representation dc ,0
washingtonexaminer.com,0,1,state game college watch touchdowns second football week states yards ohio season games stanford ,0
washingtonexaminer.com,-0.100000001,1.700000048,voters tight state scott trumps reelection wisconsin predicted wave red evers think theyre message vote doesnt walker primary ,0
washingtonexaminer.com,0,0.100000001,committee ramirez ford took kavanaugh arrange democrats work lot grassley scrap york fordkavanaugh senate fords sen hearing byron ,0
washingtonexaminer.com,-0.100000001,2.5,users exploited told facebook 50 company breach theyre reveals security accounts million access affecting hackers ,0
washingtonexaminer.com,0,1,lawmakers committee bias told testify company ceo pichai judiciary house senate mccarthy concerns google mount ,0
washingtonexaminer.com,-0.300000012,1.5,statements case board musk opens elon agency founder musks teslas private tesla secured fraud sec ,0
washingtonexaminer.com,0,0.800000012,weapons nuclear korea russia needs war lower trust security forces syria chemical sanctions north build ,0
washingtonexaminer.com,0.100000001,1.100000024,korea seven deal week world wants minister pyongyang kim say trump pompeo gathering syria north ,0
washingtonexaminer.com,-0.100000001,0.699999988,iraq proof state irans russia united pompeo lavrov iran backs trying syria terrorism iranian ,0
washingtonexaminer.com,0.100000001,1.100000024,passed democrats funding push medicaid treatment house bill opioid states repeal ,0
washingtonexaminer.com,0,0.5,head protection review agency childrens allegations etzel health leave epa adviser office placed science ,0
washingtonexaminer.com,0.100000001,0.899999976,overwhelmingly passed medicaid passes treatment house legislation epidemic bill patients grants addiction opioid battle ,0
washingtonexaminer.com,0,1.5,support daily flake federal today dairy packagekavanaugh abortion products court opioids backing house law health vote healthcare boosted flu ,0
washingtonexaminer.com,0.100000001,1.299999952,option russia zinke blockade states trump sure dealing iran ryan naval united energy does ,0
washingtonexaminer.com,-0.100000001,1.799999952,efficiency pushes emissions warmer rules degrees administration change trump global standards earth relax fuel climate predicts temperature ,0
washingtonexaminer.com,-0.300000012,1.600000024,state boardroom boards belong companies quotas legal law female forces women corporate california ,0
washingtonexaminer.com,-0.5,2.5,review disclosure investment upgrade club founder company loans securities sec industry bars lending laplanche ,0
washingtonexaminer.com,0,1.700000048,release usmexico canadas canada trump house white nafta trade deal text ,0
washingtonexaminer.com,-0.100000001,0.899999976,committee investigation flake delay kavanaugh republicans backtracks democrats creates senate fbi vote sen ford ,0
washingtonexaminer.com,-0.300000012,2.200000048,room confirmation walk walked kavanaugh kavanaughs opening brett grassley senate senators democratic dr vote hearing ford ,0
washingtonexaminer.com,0.899999976,0.899999976,state printing examining washington watch manufacturing northeast innovation live university ohio makes youngstown national advanced ,0
washingtonexaminer.com,-0.5,2.900000095,committee 1991 confirmation joe reach biden report sexual investigations misconduct understand senate thomas conclusions fbi does ,0
washingtonexaminer.com,0,0.699999988,buy discuss users washington electricity bosses bailout coal trumps hughes siciliano john policy doesnt electrical energy boss ,0
washingtonexaminer.com,0.5,2.799999952,island examiner political washington examiners sea upcoming guest rep summit georgia steve learn guests ,0
washingtonexaminer.com,0,1,views examining kavanaugh rariz brett battle democrats supreme court attack worked white sen plan nominee politics ,0
washingtonexaminer.com,0,0.600000024,voters polling fortier future washington places ahead options ways turnoutanderson trend voting united states voter ,0
washingtonexaminer.com,0.400000006,2.400000095,washington zito salena gap mainstreet unite troiano party bridging independent partisan meets politics ,0
washingtonexaminer.com,0,0.100000001,elections washington zito gerow fox salena media joined camaro special discuss ,0
washingtonexaminer.com,0,0.800000012,races mcconnell close know louisville ted senate cruz fight texas knife win alley loses ,0
washingtonexaminer.com,-0.100000001,0.699999988,whitehouses word yearbook whitehouse kavanaugh kavanaughs star thats know senator ralphing jokes ralph york words fffffword sen hearing turn ,0
thehill.com,-0.100000001,1.299999952,support investigation memo risks kavanaugh court trump senate midterms gop fbi vote women disaster ,0
thehill.com,0.100000001,0.899999976,committee lawmakers passed lobbying tax trump house senate frenzy gop group law bill staff ,0
thehill.com,0,1.600000024,winning state federal issue governor dem hopefuls expansion democrats medicaid expand gop money obamacare states ,0
thehill.com,0,0.699999988,investigation confirmation flake kavanaugh delay faces nomination vote trump senate uncertainties fresh fbi ,0
thehill.com,-0.300000012,1.700000048,committee investigation flake secure delay kavanaugh came senate fbi vote ,0
thehill.com,0,2.200000048,aba attention probe kavanaugh kavanaughs endorsement nomination court qualified judiciary trump past associations fbi concerns draws ,0
thehill.com,0,1.5,ramirez moving investigation second kavanaugh kavanaughs nomination supreme trump forward accuser reaches senate fbi deborah ,0
thehill.com,-0.200000003,1,support investigation flake kavanaugh kavanaughs nomination request trump unless plans investigates senate gop fbi turn ,0
thehill.com,-0.100000001,1.600000024,lawyer investigation katz probe kavanaugh scope nomination limits artificial investigate accuser senate fbi statement ,0
thehill.com,-0.200000003,1.799999952,hes investigation kavanaugh lying court democrats supreme trump house impeaching senate pelosi fit ,0
thehill.com,0,1.5,virus outbreak ebola threaten border attacks killed world rebel cases village spread health help officials salama ,0
thehill.com,-0.5,2.700000048,swetnick investigation report kavanaugh scope limiting high house claims senate white fbi permitted ,0
thehill.com,-0.400000006,2.799999952,settlement elon musk pay musks teslas tesla step sec lawsuit chairman ,0
thehill.com,-0.400000006,2.200000048,track state palin charges arrested night domestic court troopers violence residence appears reportedly ,0
thehill.com,0,1.200000048,president blumenthal renews statements state dem war military vietnam service trump past sen attack ,0
thehill.com,-0.100000001,0.899999976,ask ford king kavanaugh kavanaughs lying allegations supreme tears testimony motivation character hearing stephen ,0
thehill.com,0,0.100000001,sanders president running kavanaugh republicans start presidential trump midterms consider warren gop ,0
thehill.com,-0.100000001,2.200000048,right family kavanaugh salem evidence proctor crucible hunt brett good public john modern matter witch ,0
thehill.com,0,0.800000012,views poll split kavanaugh definitely respondents dramatic shows testimony believe probably americans hearing ford ,0
thehill.com,-0.200000003,2.099999905,jason support dem talks im songs candidate unhinged voted interview jesus say trump senate going isbell ,0
thehill.com,-0.200000003,1.5,entry investigation kavanaugh calendar kavanaughs happened 1982 testified judge examined going fords fbi ford post ,0
thehill.com,-0.200000003,1.200000048,sanders committee investigation kavanaugh kavanaughs told sexual heart investigate calls senate truth gop fbi hearing bernie ,0
thehill.com,-0.200000003,2.099999905,earlier hostile festival hillary republicans bannon interviewers appearing say volumes responded power thanks maher bill ,0
thehill.com,-0.100000001,1.600000024,investigation hell enforcement probe kavanaugh kavanaughs delay nomination trump vote senate confidential cooperate fbi law friend ,0
thehill.com,-0.400000006,2.400000095,received subpoenaed moonves sexual allegations york month harassment cbs subpoena corporation ,0
thehill.com,0,1.399999976,weapons disarm korea visit denuclearization trust trump security nuclear way sanctions north korean ,0
thehill.com,-0.400000006,2.200000048,smokescreen secret irans accuses israel zarif atomic netanyahu diplomat claims iran program facility nuclear weapons iranian ,0
thehill.com,-0.100000001,0.899999976,wilbur case review admin census deposition ross asks court question supreme trump wrote block states ,0
thehill.com,-0.200000003,2.700000048,cfpb posts email bureau dismissing racism blasts fair wrote colleague official lending blog consumer post ,0
thehill.com,-0.100000001,1.299999952,investigation biden kavanaugh partisanship invective hits sexual allegations request blind trump brute senate rage gop fbi hearing ford ,0
thehill.com,0.100000001,1.100000024,voters blue republican party beto orourke frighten senate texas cruz race gop latino states ,0
thehill.com,0,0.100000001,clip l samuel kavanaugh fiction thats pulp gunfight responds trumps trump video jackson viral nominee ,0
thehill.com,0.200000003,2.099999905,water storms refugees refugee sea change rise wealthy global level begun hurricane climate crisis ,0
thehill.com,0.5,2.799999952,launch transformational future technology cusp american ula space security vulcan rocket engine national ,0
thehill.com,0,0.200000003,cant immigration afford dont proposed public trump aliens law come welfare charge united states immigrants ,0
washingtontimes.com,-0.5,2.700000048,president investigation probe suggests kavanaugh disguise feinstein allegations judge allegation trump leaked blessing think fbi sen ,0
washingtontimes.com,-0.200000003,1.399999976,president shes suggests kavanaugh blasey west dianne feinstein ms mr language judge mocks democrats trump allegations donald body leaker ,0
washingtontimes.com,0,0.400000006,committee walsh kavanaugh told know ms mr party leland keyser tell fbi knowledge ford ,0
washingtontimes.com,0,1.100000024,committee probe kavanaugh blasey allegations orders court supreme judge judiciary trump background party senate fbi nominee ,0
washingtontimes.com,0,1.399999976,cites attorney statutory general mr court muellers ruled kamenar precedent defending office watergate authority special counsels ,0
washingtontimes.com,0.100000001,0.699999988,offer president base poland fort european ties military mr polish aims say trump cement nato warsaw ,0
washingtontimes.com,0,1.200000048,gillibrand political blasey 2020 kavanaugh ms mr democrats judge kirsten christine latch coattails fords hearing ford ,0
washingtontimes.com,0,0.100000001,withdrawal washington turkish foreign syrian working withdraw troops demands forces syria united ,0
washingtontimes.com,0,0.899999976,committee subpoenas report times week mr republican judiciary trump house rosenstein york justice mccabe subpoena memos ,0
washingtontimes.com,-0.5,2.200000048,investigators refuses attorney research fusion simpson cofounder mr dossier public house witnesses speak gps testimony glenn levy opposition ,0
washingtontimes.com,0,0.699999988,weeks jongun west mr democrats jokes kim trump donald warren white fell win love north ,0
washingtontimes.com,-0.5,2.799999952,man friend probe kavanaugh chuck asks brett illegal high judge allegation claim rape false fbi grassley ,0
washingtontimes.com,-0.300000012,2.299999952,hysterical potential discusses kavanaugh mrs brett allegations court democrats supreme say house proceedings pelosi nancy slams impeachment ,0
washingtontimes.com,-0.100000001,0.899999976,term case property blockbusters court upcoming supreme rights ruled cases trumps lacking courts states ,0
washingtontimes.com,-0.200000003,1.5,emerge manny andrew user offensive tweets campaign mr orozcoballestas gillum engels florida tweeted twitter loses ,0
washingtontimes.com,0,2,obama album washington mamma center kennedy honor wanting admits world trump cher mia way ,0
washingtontimes.com,-0.200000003,1,graham committee yell flake kavanaugh activists mr judge unfazed thought lindsey fbi doesnt antikavanaugh ,0
washingtontimes.com,-0.100000001,1,break president lack kavanaugh movement respect mr metoo say trump pelosi nancy trying women ,0
washingtontimes.com,-0.200000003,1.600000024,president permission washington constitution foreign violating proceed mr democrats judge congress trump democratic allows lawsuit emoluments ,0
washingtontimes.com,0,0.699999988,capitals took game washington overtime second sharp play puck ovechkin preseason hurricanes look win players megna ,0
washingtontimes.com,0,0.5,keys harper moment door washington nationals opened really fully bryce mall marcus fans city dc ,0
washingtontimes.com,-0.100000001,0.800000012,ditching jets qbs initial quarterback start nfl content smith teams plans quarterbacks rookie season win ,0
washingtontimes.com,0,1.700000048,base turner skill set potential nationals washington realizing shortstop think played ryan unique trea season martinez ,0
washingtontimes.com,-0.100000001,0.800000012,suit settlement billion musk elon company investors ceo settle tesla steps fraud sec million lawsuit chairman companythe ,0
washingtontimes.com,0,1.600000024,kavanaugh 2019 allegations ms court trumps supreme mr fbi womens announces wake women rally ford ,0
washingtontimes.com,0,0.400000006,committee walsh kavanaugh told know ms mr party leland keyser tell fbi knowledge ford ,0
washingtontimes.com,-0.5,2.799999952,man friend probe kavanaugh chuck asks brett illegal high judge allegation claim rape false fbi grassley ,0
washingtontimes.com,-0.200000003,2.5,detailing friend cory school resurfaces column booker high senator week sexual judge 1992 wrote rape bookers groping stanford ,0
washingtontimes.com,0,1.399999976,cites attorney statutory general mr court muellers ruled kamenar precedent defending office watergate authority special counsels ,0
washingtontimes.com,0,2.200000048,blasey whove lying sexual high happens prove christine fact come truth abuse ford ,0
washingtontimes.com,-0.300000012,2.299999952,hysterical potential discusses kavanaugh mrs brett allegations court democrats supreme say house proceedings pelosi nancy slams impeachment ,0
washingtontimes.com,-0.5,2.700000048,president investigation probe suggests kavanaugh disguise feinstein allegations judge allegation trump leaked blessing think fbi sen ,0
washingtontimes.com,-0.100000001,1.5,committee started pages blasey kavanaugh travel costs judiciary nearly testifies past gofundme christine stated soar security fund goals ford ,0
washingtontimes.com,0,0,president bannon mr midterm trumps results trump house impeached white senate control steve pending predicts impeachment ,0
washingtontimes.com,-0.200000003,1.5,emerge manny andrew user offensive tweets campaign mr orozcoballestas gillum engels florida tweeted twitter loses ,0
foxnews.com,0,0.400000006,voters dems president kavanaugh derides west shameful happen democrats party judge trump senate things stay rally defends nominee ,0
foxnews.com,-0.200000003,2.099999905,contacts committee investigation scrutiny kavanaugh delay 2nd disguise sexual democrats trump blessing accuser senate extra fbi hearing ,0
foxnews.com,-0.5,2.599999905,dems investigation confirmation efforts kavanaugh delay brett democrats supreme trump investigate senate cassidy fbi ,0
